Date,LU0099730524,VIX,LU2034326236,DBMARMSS,DE0008490962,LU1978535810,LU0641007009,LU0908508814,IE00BQXKVQ19,LU0292107645,LU0397221945,LU0411078552,SPX,LU0429459356,LU0429458895
2000-01-03,10241.925129999998,24.21,,,107.87218999999999,,,,,,,,,,
2000-01-04,10461.069225000001,27.01,,,103.884705,,,,,,,,,,
2000-01-05,10525.935743999999,26.41,,,102.819456,,,,,,,,,,
2000-01-06,10547.154547999999,25.73,,,103.88,,,,,,,,,,
2000-01-07,10444.27614,21.72,,,105.411,,,,,,,,,,
2000-01-10,10389.319117,21.71,,,109.828773,,,,,,,,,,
2000-01-11,10417.644816000002,22.5,,,110.09816000000001,,,,,,,,,,
2000-01-12,10471.371491999998,22.84,,,110.36775599999999,,,,,,,,,,
2000-01-13,10439.768612000002,21.71,,,111.4946,,,,,,,,,,
2000-01-14,10390.655225,19.66,,,111.84105,,,,,,,,,,
2000-01-17,10258.421166,,,,111.225786,,,,,,,,,,
2000-01-18,10258.293061000002,21.5,,,112.37546200000001,,,,,,,,,,
2000-01-19,10271.378825,21.72,,,108.83085,,,,,,,,,,
2000-01-20,10256.003217,21.75,,,111.59442899999999,,,,,,,,,,
2000-01-21,10266.801249,20.82,,,110.99632100000001,,,,,,,,,,
2000-01-24,10196.506435,24.07,,,110.65797199999999,,,,,,,,,,
2000-01-25,10178.065944,23.02,,,108.40665599999998,,,,,,,,,,
2000-01-26,10190.134538999999,23.03,,,108.295371,,,,,,,,,,
2000-01-27,10147.277944000001,23.54,,,109.556432,,,,,,,,,,
2000-01-28,10019.670336,26.14,,,109.65747999999999,,,,,,,,,,
2000-01-31,9962.53832,24.95,,,106.64357199999999,,,,,,,,,,
2000-02-01,9880.97368,23.45,,,107.34405,,,,,,,,,,
2000-02-02,9889.010334,23.12,,,109.48143900000001,,,,,,,,,,
2000-02-03,9921.46566,22.01,,,111.214932,,,,,,,,,,
2000-02-04,10012.767625,21.54,,,114.784285,,,,,,,,,,
2000-02-07,9944.446856,22.79,,,113.463239,,,,,,,,,,
2000-02-08,10083.838683,21.25,,,116.07306299999999,,,,,,,,,,
2000-02-09,10116.338569999998,22.9,,,119.72456799999999,,,,,,,,,,
2000-02-10,10050.044864,23.07,,,117.57722000000001,,,,,,,,,,
2000-02-11,9984.553128,24.42,,,120.297474,,,,,,,,,,
2000-02-14,10052.696940000002,24.38,,,117.989586,,,,,,,,,,
2000-02-15,9962.941092,22.92,,,116.954658,,,,,,,,,,
2000-02-16,9990.354432,23.51,,,116.628384,,,,,,,,,,
2000-02-17,10108.462819,23.17,,,118.145209,,,,,,,,,,
2000-02-18,10048.038516999999,26.0,,,120.51168200000001,,,,,,,,,,
2000-02-21,10048.955218,,,,118.86556300000001,,,,,,,,,,
2000-02-22,10218.100474,25.86,,,122.94989600000001,,,,,,,,,,
2000-02-23,10265.946947999999,23.89,,,124.42034399999999,,,,,,,,,,
2000-02-24,10093.525092000002,24.38,,,123.220202,,,,,,,,,,
2000-02-25,10009.593642,25.2,,,121.56344399999999,,,,,,,,,,
2000-02-28,9833.004153,24.68,,,117.345186,,,,,,,,,,
2000-02-29,9910.417080000001,23.37,,,118.94793000000001,,,,,,,,,,
2000-03-01,9863.375438,21.64,,,122.43255500000001,,,,,,,,,,
2000-03-02,9923.48725,21.06,,,121.2124,,,,,,,,,,
2000-03-03,9858.931641,19.21,,,123.393725,,,,,,,,,,
2000-03-06,9840.4638,21.5,,,124.4042,,,,,,,,,,
2000-03-07,9793.416956000001,24.31,,,124.987197,,,,,,,,,,
2000-03-08,9743.288483999999,23.82,,,124.564779,,,,,,,,,,
2000-03-09,9818.743744,22.21,,,124.64259200000001,,,,,,,,,,
2000-03-10,9818.458649,21.24,,,126.305207,,,,,,,,,,
2000-03-13,9924.60252,22.85,,,123.37376800000001,,,,,,,,,,
2000-03-14,9827.46492,24.41,,,122.25095999999999,,,,,,,,,,
2000-03-15,9855.982961,22.34,,,119.535977,,,,,,,,,,
2000-03-16,9873.257217,20.77,,,119.685918,,,,,,,,,,
2000-03-17,9885.248255999999,22.37,,,122.98915199999999,,,,,,,,,,
2000-03-20,9930.12896,22.96,,,125.57609,,,,,,,,,,
2000-03-21,9916.759941,21.7,,,124.62874699999999,,,,,,,,,,
2000-03-22,9817.502211,21.49,,,124.118775,,,,,,,,,,
2000-03-23,9872.613048,22.26,,,120.806216,,,,,,,,,,
2000-03-24,9935.753945,23.31,,,121.86496,,,,,,,,,,
2000-03-27,9933.618128,24.53,,,121.71078399999999,,,,,,,,,,
2000-03-28,9868.061005,24.86,,,122.34325399999999,,,,,,,,,,
2000-03-29,9788.178816000001,24.1,,,119.83919999999999,,,,,,,,,,
2000-03-30,9775.79694,25.47,,,115.89259500000001,,,,,,,,,,
2000-03-31,9776.511541,24.11,,,113.09796700000001,,,,,,,,,,
2000-04-03,9788.687052000001,24.03,,,114.184596,,,,,,,,,,
2000-04-04,9763.068185999999,27.12,,,111.54691,,,,,,,,,,
2000-04-05,9902.240427,28.41,,,110.14645100000001,,,,,,,,,,
2000-04-06,9854.103875,27.15,,,113.295875,,,,,,,,,,
2000-04-07,9794.616732,24.39,,,114.729744,,,,,,,,,,
2000-04-10,9822.23144,25.99,,,117.23774999999999,,,,,,,,,,
2000-04-11,9827.316486000002,27.25,,,113.362704,,,,,,,,,,
2000-04-12,9809.865071999999,28.98,,,113.695848,,,,,,,,,,
2000-04-13,9770.904462,29.4,,,110.96299499999999,,,,,,,,,,
2000-04-14,9776.9259,33.49,,,111.80879999999999,,,,,,,,,,
2000-04-17,9811.731474,28.95,,,106.67193900000001,,,,,,,,,,
2000-04-18,9734.823874,26.12,,,108.655177,,,,,,,,,,
2000-04-19,9698.896845000001,27.02,,,109.170479,,,,,,,,,,
2000-04-20,9616.597536000001,25.85,,,108.864736,,,,,,,,,,
2000-04-24,,27.37,,,,,,,,,,,,,
2000-04-25,9541.656728,25.24,,,107.754368,,,,,,,,,,
2000-04-26,9430.795331,26.97,,,109.12091000000001,,,,,,,,,,
2000-04-27,9400.96311,26.19,,,108.57238699999999,,,,,,,,,,
2000-04-28,9324.689554999999,26.2,,,108.429475,,,,,,,,,,
2000-05-01,,25.88,,,,,,,,,,,,,
2000-05-02,9357.446376,28.5,,,110.932604,,,,,,,,,,
2000-05-03,9150.067974,31.63,,,108.061212,,,,,,,,,,
2000-05-04,9185.965423000001,30.77,,,107.766615,,,,,,,,,,
2000-05-05,9226.954312,27.53,,,108.805224,,,,,,,,,,
2000-05-08,9195.082608,28.2,,,108.63252,,,,,,,,,,
2000-05-09,9222.785170000001,28.93,,,107.736,,,,,,,,,,
2000-05-10,9356.313232,29.87,,,108.94704099999998,,,,,,,,,,
2000-05-11,9328.554473000002,27.76,,,105.52521700000001,,,,,,,,,,
2000-05-12,9280.195808999999,26.05,,,107.62568,,,,,,,,,,
2000-05-15,9402.494004,24.86,,,108.364509,,,,,,,,,,
2000-05-16,9319.209795,24.34,,,108.50805,,,,,,,,,,
2000-05-17,9173.189988,23.98,,,105.895218,,,,,,,,,,
2000-05-18,9194.754572,23.96,,,105.104268,,,,,,,,,,
2000-05-19,9128.816125,25.44,,,102.0625,,,,,,,,,,
2000-05-22,9258.390000000001,26.0,,,101.7,,,,,,,,,,
2000-05-23,9373.597242,25.87,,,103.400739,,,,,,,,,,
2000-05-24,9361.232434000001,24.32,,,100.88772200000001,,,,,,,,,,
2000-05-25,9241.844164,24.58,,,102.122951,,,,,,,,,,
2000-05-26,9411.603054000001,24.47,,,102.301027,,,,,,,,,,
2000-05-29,9535.127118,,,,104.69764800000002,,,,,,,,,,
2000-05-30,9636.026399999999,23.62,,,106.542856,,,,,,,,,,
2000-05-31,9579.401433,23.65,,,107.161257,,,,,,,,,,
2000-06-01,,22.36,,,,,,,,,,,,,
2000-06-02,9637.10938,21.48,,,111.06256,,,,,,,,,,
2000-06-05,9718.602941000001,22.71,,,113.252598,,,,,,,,,,
2000-06-06,9773.32503,23.05,,,114.88232,,,,,,,,,,
2000-06-07,9845.568972000001,22.48,,,114.017436,,,,,,,,,,
2000-06-08,9964.217852,22.77,,,117.427528,,,,,,,,,,
2000-06-09,9784.20898,22.14,,,114.04133,,,,,,,,,,
2000-06-12,,22.32,,,,,,,,,,,,,
2000-06-13,9882.401669,21.67,,,114.04728300000001,,,,,,,,,,
2000-06-14,9938.223504,21.48,,,115.217652,,,,,,,,,,
2000-06-15,9823.853616,20.68,,,114.202284,,,,,,,,,,
2000-06-16,9869.616554999999,20.5,,,114.866085,,,,,,,,,,
2000-06-19,9948.16188,20.63,,,114.475,,,,,,,,,,
2000-06-20,9844.055343999999,20.88,,,113.59758,,,,,,,,,,
2000-06-21,9775.01923,20.61,,,111.36719999999998,,,,,,,,,,
2000-06-22,,22.0,,,,,,,,,,,,,
2000-06-23,9720.729796,22.34,,,109.416712,,,,,,,,,,
2000-06-26,9633.046851,22.45,,,108.538299,,,,,,,,,,
2000-06-27,9710.603133,21.8,,,108.96699100000001,,,,,,,,,,
2000-06-28,9726.20341,20.29,,,108.78091,,,,,,,,,,
2000-06-29,9819.2952,19.7,,,107.860896,,,,,,,,,,
2000-06-30,9876.479572,19.54,,,107.49544399999999,,,,,,,,,,
2000-07-03,9812.515394,19.83,,,107.764536,,,,,,,,,,
2000-07-04,9807.499321,,,,108.711533,,,,,,,,,,
2000-07-05,9860.380595999999,21.16,,,110.581515,,,,,,,,,,
2000-07-06,9866.752428,20.94,,,108.702464,,,,,,,,,,
2000-07-07,9809.300547,19.22,,,109.007085,,,,,,,,,,
2000-07-10,9851.867282000001,20.33,,,112.352354,,,,,,,,,,
2000-07-11,9857.196293,20.11,,,110.999077,,,,,,,,,,
2000-07-12,9829.422715,20.03,,,110.805835,,,,,,,,,,
2000-07-13,9675.37359,20.03,,,109.990985,,,,,,,,,,
2000-07-14,9673.70304,19.32,,,111.997184,,,,,,,,,,
2000-07-17,9683.163672,19.45,,,114.37496,,,,,,,,,,
2000-07-18,9685.368208,19.75,,,114.686486,,,,,,,,,,
2000-07-19,9544.651776,19.65,,,111.688704,,,,,,,,,,
2000-07-20,9549.94692,18.94,,,112.68684,,,,,,,,,,
2000-07-21,9701.575443000002,18.94,,,115.754769,,,,,,,,,,
2000-07-24,9670.630284,19.92,,,114.41032,,,,,,,,,,
2000-07-25,9752.63692,19.39,,,114.95255999999999,,,,,,,,,,
2000-07-26,9733.08243,19.67,,,114.29508,,,,,,,,,,
2000-07-27,9733.228906999999,19.6,,,114.649079,,,,,,,,,,
2000-07-28,9619.564487999998,20.84,,,111.395484,,,,,,,,,,
2000-07-31,9586.497609,20.74,,,110.44460699999999,,,,,,,,,,
2000-08-01,9609.436032,20.55,,,111.964704,,,,,,,,,,
2000-08-02,9484.038788,20.0,,,110.38050799999999,,,,,,,,,,
2000-08-03,9366.91112,19.99,,,107.171388,,,,,,,,,,
2000-08-04,9373.437458,18.62,,,107.748861,,,,,,,,,,
2000-08-07,9429.591696,19.03,,,108.935328,,,,,,,,,,
2000-08-08,9392.32399,18.79,,,108.672564,,,,,,,,,,
